"SEGMENT","POSITION","FIELD","PARENT_FIELD","TABLE","NAME","DESCRIPTION"
01,1,FILEID,NA,HEAD,"File Identification","File Identification"
01,2,STUSAB,NA,HEAD,"State/US-Abbreviation (USPS)","State/US-Abbreviation (USPS)"
01,3,CHARITER,NA,HEAD,"Characteristic iteration","Characteristic iteration"
01,4,CIFSN,NA,HEAD,"Characteristic Iteration File Sequence Number","Characteristic Iteration File Sequence Number"
01,5,LOGRECNO,NA,HEAD,"Logical Record Number","Logical Record Number"
01,6,PCT0010001,NA,PCT001,"Total","Total"
02,1,FILEID,NA,HEAD,"File Identification","File Identification"
02,2,STUSAB,NA,HEAD,"State/US-Abbreviation (USPS)","State/US-Abbreviation (USPS)"
02,3,CHARITER,NA,HEAD,"Characteristic iteration","Characteristic iteration"
02,4,CIFSN,NA,HEAD,"Characteristic Iteration File Sequence Number","Characteristic Iteration File Sequence Number"
02,5,LOGRECNO,NA,HEAD,"Logical Record Number","Logical Record Number"
02,6,PCT0020001,NA,PCT002,"Total","Total"
02,7,PCT0020002,PCT0020001,PCT002,"Urban","Total: Urban"
02,8,PCT0020003,PCT0020002,PCT002,"Inside urbanized areas","Total: Urban: Inside urbanized areas"
02,9,PCT0020004,PCT0020002,PCT002,"Inside urban clusters","Total: Urban: Inside urban clusters"
02,10,PCT0020005,PCT0020001,PCT002,"Rural","Total: Rural"
02,11,PCT0020006,PCT0020001,PCT002,"Not defined for this file","Total: Not defined for this file"
03,1,FILEID,NA,HEAD,"File Identification","File Identification"
03,2,STUSAB,NA,HEAD,"State/US-Abbreviation (USPS)","State/US-Abbreviation (USPS)"
03,3,CHARITER,NA,HEAD,"Characteristic iteration","Characteristic iteration"
03,4,CIFSN,NA,HEAD,"Characteristic Iteration File Sequence Number","Characteristic Iteration File Sequence Number"
03,5,LOGRECNO,NA,HEAD,"Logical Record Number","Logical Record Number"
03,6,PCT0030001,NA,PCT003,"Total","Total"
03,7,PCT0030002,PCT0030001,PCT003,"Male","Total: Male"
03,8,PCT0030003,PCT0030002,PCT003,"Under 1 year","Total: Male: Under 1 year"
03,9,PCT0030004,PCT0030002,PCT003,"1 year","Total: Male: 1 year"
03,10,PCT0030005,PCT0030002,PCT003,"2 years","Total: Male: 2 years"
03,11,PCT0030006,PCT0030002,PCT003,"3 years","Total: Male: 3 years"
03,12,PCT0030007,PCT0030002,PCT003,"4 years","Total: Male: 4 years"
03,13,PCT0030008,PCT0030002,PCT003,"5 years","Total: Male: 5 years"
03,14,PCT0030009,PCT0030002,PCT003,"6 years","Total: Male: 6 years"
03,15,PCT0030010,PCT0030002,PCT003,"7 years","Total: Male: 7 years"
03,16,PCT0030011,PCT0030002,PCT003,"8 years","Total: Male: 8 years"
03,17,PCT0030012,PCT0030002,PCT003,"9 years","Total: Male: 9 years"
03,18,PCT0030013,PCT0030002,PCT003,"10 years","Total: Male: 10 years"
03,19,PCT0030014,PCT0030002,PCT003,"11 years","Total: Male: 11 years"
03,20,PCT0030015,PCT0030002,PCT003,"12 years","Total: Male: 12 years"
03,21,PCT0030016,PCT0030002,PCT003,"13 years","Total: Male: 13 years"
03,22,PCT0030017,PCT0030002,PCT003,"14 years","Total: Male: 14 years"
03,23,PCT0030018,PCT0030002,PCT003,"15 years","Total: Male: 15 years"
03,24,PCT0030019,PCT0030002,PCT003,"16 years","Total: Male: 16 years"
03,25,PCT0030020,PCT0030002,PCT003,"17 years","Total: Male: 17 years"
03,26,PCT0030021,PCT0030002,PCT003,"18 years","Total: Male: 18 years"
03,27,PCT0030022,PCT0030002,PCT003,"19 years","Total: Male: 19 years"
03,28,PCT0030023,PCT0030002,PCT003,"20 years","Total: Male: 20 years"
03,29,PCT0030024,PCT0030002,PCT003,"21 years","Total: Male: 21 years"
03,30,PCT0030025,PCT0030002,PCT003,"22 years","Total: Male: 22 years"
03,31,PCT0030026,PCT0030002,PCT003,"23 years","Total: Male: 23 years"
03,32,PCT0030027,PCT0030002,PCT003,"24 years","Total: Male: 24 years"
03,33,PCT0030028,PCT0030002,PCT003,"25 years","Total: Male: 25 years"
03,34,PCT0030029,PCT0030002,PCT003,"26 years","Total: Male: 26 years"
03,35,PCT0030030,PCT0030002,PCT003,"27 years","Total: Male: 27 years"
03,36,PCT0030031,PCT0030002,PCT003,"28 years","Total: Male: 28 years"
03,37,PCT0030032,PCT0030002,PCT003,"29 years","Total: Male: 29 years"
03,38,PCT0030033,PCT0030002,PCT003,"30 years","Total: Male: 30 years"
03,39,PCT0030034,PCT0030002,PCT003,"31 years","Total: Male: 31 years"
03,40,PCT0030035,PCT0030002,PCT003,"32 years","Total: Male: 32 years"
03,41,PCT0030036,PCT0030002,PCT003,"33 years","Total: Male: 33 years"
03,42,PCT0030037,PCT0030002,PCT003,"34 years","Total: Male: 34 years"
03,43,PCT0030038,PCT0030002,PCT003,"35 years","Total: Male: 35 years"
