ID, FIELD, START_POS, FIELD_SIZE, DATA_TYPE, DESCRIPTION
  3,   FILEID,   1,  6, c, "File Identification"
  4,   STUSAB,   7,  2, c, "State/US-Abbreviation (USPS)"
  5,   SUMLEV,   9,  3, c, "Summary Level"
  6,  GEOCOMP,  12,  2, c, "Geographic Component"
  7, CHARITER,  14,  3, c, "Characteristic Iteration"
  8,    CIFSN,  17,  2, c, "Characteristic Iteration File Sequence Number"
  9, LOGRECNO,  19,  7, c, "Logical Record Number"
 10,   REGION,  26,  1, c, "Region"
 11, DIVISION,  27,  1, c, "Division"
 12,    STATE,  28,  2, c, "State (FIPS)"
 13,   COUNTY,  30,  3, c, "County"
 14, COUNTYCC,  33,  2, c, "FIPS County Class Code"
 15, COUNTYSC,  35,  2, c, "County Size Code"
 16,   COUSUB,  37,  5, c, "County Subdivision (FIPS)"
 17, COUSUBCC,  42,  2, c, "FIPS County Subdivision Class Code"
 18, COUSUBSC,  44,  2, c, "County Subdivision Size Code"
 19,    PLACE,  46,  5, c, "Place (FIPS)"
 20,  PLACECC,  51,  2, c, "FIPS Place Class Code"
 21,  PLACESC,  53,  2, c, "Place Size Code"
 22,    TRACT,  55,  6, c, "Census Tract"
 23,   BLKGRP,  61,  1, c, "Block Group"
 24,    BLOCK,  62,  4, c, "Block"
 25,      IUC,  66,  2, c, "Internal Use Code"
 26,   CONCIT,  68,  5, c, "Consolidated City (FIPS)"
 27, CONCITCC,  73,  2, c, "FIPS Consolidated City Class Code"
 28, CONCITSC,  75,  2, c, "Consolidated City Size Code"
 29,   AIANHH,  77,  4, c, "American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"
 30, AIANHHFP,  81,  5, c, "American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"
 31, AIANHHCC,  86,  2, c, "FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code"
 32,  AIHHTLI,  88,  1, c, "American Indian Trust Land/Hawaiian Home Land Indicator"
 33,   AITSCE,  89,  3, c, "American Indian Tribal Subdivision (Census)"
 34,     AITS,  92,  5, c, "American Indian Tribal Subdivision (FIPS)"
 35,   AITSCC,  97,  2, c, "FIPS American Indian Tribal Subdivision Class Code"
 36,   TTRACT,  99,  6, c, "Tribal Census Tract"
