CODE, DESCRIPTION
001,"Total Population"
002,"White alone"
003,"White alone or in combination with one or more other races"
004,"Black or African American alone"
005,"Black or African American alone or in combination with one or more other races"
006,"American Indian and Alaska Native alone (300, A01-Z99)"
009,"American Indian and Alaska Native alone or in combination with one or more other races (300, A01-Z99) & (100-299) or (300, A01-Z99) or (400-999)"
012,"Asian alone (400-499)"
013,"Asian Indian alone (400-401)"
014,"Bangladeshi alone (402)"
015,"Cambodian alone (405-409)"
016,"Chinese alone (410-419)"
017,"Chinese (except Taiwanese) alone (410-411)"
018,"Taiwanese alone (412-419)"
019,"Filipino alone (420-421)"
020,"Hmong alone (422)"
021,"Indonesian alone (423-429)"
022,"Japanese alone (430-439)"
023,"Korean alone (440-441)"
024,"Laotian alone (442)"
025,"Malaysian alone (443)"
026,"Pakistani alone (445)"
027,"Sri Lankan alone (446)"
028,"Thai alone (447-449)"
029,"Vietnamese alone (450-459)"
031,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)"
032,"Asian Indian alone or in any combination (400-401) & (100-299) or (300, A01-Z99) or (400-999)"
033,"Bangladeshi alone or in any combination (402) & (100-299) or (300, A01-Z99) or (400-999)"
034,"Cambodian alone or in any combination (405-409) & (100-299) or (300, A01-Z99) or (400-999)"
035,"Chinese alone or in any combination (410-419) & (100-299) or (300, A01-Z99) or (400-999)"
036,"Chinese (except Taiwanese) alone or in any combination (410-411) & (100-299) or (300, A01-Z99) or (400-999)"
037,"Taiwanese alone or in any combination (412-419) & (100-299) or (300, A01-Z99) or (400-999)"
038,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)"
039,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)"
040,"Indonesian alone or in any combination (423-429) & (100-299) or (300, A01-Z99) or (400-999)"
041,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)"
042,"Korean alone or in any combination (440-441) & (100-299) or (300, A01-Z99) or (400-999)"
043,"Laotian alone or in any combination (442) & (100-299) or (300, A01-Z99) or (400-999)"
044,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)"
045,"Pakistani alone or in any combination (445) & (100-299) or (300, A01-Z99) or (400-999)"
046,"Sri Lankan alone or in any combination (446) & (100-299) or (300, A01-Z99) or (400-999)"
047,"Thai alone or in any combination (447-449) & (100-299) or (300, A01-Z99) or (400-999)"
048,"Vietnamese alone or in any combination (450-459) & (100-299) or (300, A01-Z99) or (400-999)"
050,"Native Hawaiian and Other Pacific Islander alone (500-599)"
051,"Polynesian alone (500-519)"
