"SEGMENT","POSITION","FIELD","PARENT_FIELD","TABLE","DESCRIPTION"
01,1,FILEID,NA,HEAD,"File Identification"
01,2,STUSAB,NA,HEAD,"State/US-Abbreviation (USPS)"
01,3,CHARITER,NA,HEAD,"Characteristic iteration"
01,4,CIFSN,NA,HEAD,"Characteristic Iteration File Sequence Number"
01,5,LOGRECNO,NA,HEAD,"Logical Record Number"
01,6,PCT0010001,NA,PCT001,"Total"
02,1,FILEID,NA,HEAD,"File Identification"
02,2,STUSAB,NA,HEAD,"State/US-Abbreviation (USPS)"
02,3,CHARITER,NA,HEAD,"Characteristic iteration"
02,4,CIFSN,NA,HEAD,"Characteristic Iteration File Sequence Number"
02,5,LOGRECNO,NA,HEAD,"Logical Record Number"
02,6,PCT0020001,NA,PCT002,"Total"
02,7,PCT0020002,PCT0020001,PCT002,"Total: Urban"
02,8,PCT0020003,PCT0020002,PCT002,"Total: Urban: Inside urbanized areas"
02,9,PCT0020004,PCT0020002,PCT002,"Total: Urban: Inside urban clusters"
02,10,PCT0020005,PCT0020001,PCT002,"Total: Rural"
02,11,PCT0020006,PCT0020001,PCT002,"Total: Not defined for this file"
03,1,FILEID,NA,HEAD,"File Identification"
03,2,STUSAB,NA,HEAD,"State/US-Abbreviation (USPS)"
03,3,CHARITER,NA,HEAD,"Characteristic iteration"
03,4,CIFSN,NA,HEAD,"Characteristic Iteration File Sequence Number"
03,5,LOGRECNO,NA,HEAD,"Logical Record Number"
03,6,PCT0030001,NA,PCT003,"Total"
03,7,PCT0030002,PCT0030001,PCT003,"Total: Male"
03,8,PCT0030003,PCT0030002,PCT003,"Total: Male: Under 1 year"
03,9,PCT0030004,PCT0030002,PCT003,"Total: Male: 1 year"
03,10,PCT0030005,PCT0030002,PCT003,"Total: Male: 2 years"
03,11,PCT0030006,PCT0030002,PCT003,"Total: Male: 3 years"
03,12,PCT0030007,PCT0030002,PCT003,"Total: Male: 4 years"
03,13,PCT0030008,PCT0030002,PCT003,"Total: Male: 5 years"
03,14,PCT0030009,PCT0030002,PCT003,"Total: Male: 6 years"
03,15,PCT0030010,PCT0030002,PCT003,"Total: Male: 7 years"
03,16,PCT0030011,PCT0030002,PCT003,"Total: Male: 8 years"
03,17,PCT0030012,PCT0030002,PCT003,"Total: Male: 9 years"
03,18,PCT0030013,PCT0030002,PCT003,"Total: Male: 10 years"
03,19,PCT0030014,PCT0030002,PCT003,"Total: Male: 11 years"
03,20,PCT0030015,PCT0030002,PCT003,"Total: Male: 12 years"
03,21,PCT0030016,PCT0030002,PCT003,"Total: Male: 13 years"
03,22,PCT0030017,PCT0030002,PCT003,"Total: Male: 14 years"
03,23,PCT0030018,PCT0030002,PCT003,"Total: Male: 15 years"
03,24,PCT0030019,PCT0030002,PCT003,"Total: Male: 16 years"
03,25,PCT0030020,PCT0030002,PCT003,"Total: Male: 17 years"
03,26,PCT0030021,PCT0030002,PCT003,"Total: Male: 18 years"
03,27,PCT0030022,PCT0030002,PCT003,"Total: Male: 19 years"
03,28,PCT0030023,PCT0030002,PCT003,"Total: Male: 20 years"
03,29,PCT0030024,PCT0030002,PCT003,"Total: Male: 21 years"
03,30,PCT0030025,PCT0030002,PCT003,"Total: Male: 22 years"
