CODE,PARENT_CODE,DESCRIPTION
010,NA,"United States"
020,NA,"Region"
030,NA,"Division"
040,NA,"State"
050,040,"State-County"
060,050,"State-County-County Subdivision"
070,060,"State-County-County Subdivision-Place/Remainder"
160,040,"State-Place"
155,160,"State-Place-County"
170,040,"State-Consolidated City"
172,170,"State-Consolidated City-Place Within Consolidated City"
500,040,"State-Congressional District"
610,040,"State-State Legislative District (Upper Chamber)"
620,040,"State-State Legislative District (Lower Chamber)"
250,NA,"American Indian Area/Alaska Native Area/Hawaiian Home Land"
260,250,"American Indian Area/Alaska Native Area/Hawaiian Home Land-State"
270,260,"American Indian Area/Alaska Native Area/Hawaiian Home Land-State-County"
271,270,"American Indian Area/Alaska Native Area/Hawaiian Home Land-State-County-County Subdivision"
273,271,"American Indian Area/Alaska Native Area/Hawaiian Home Land-State-County-County Subdivision-Place/ Remainder"
269,260,"American Indian Area/Alaska Native Area/Hawaiian Home Land-State-Place/Remainder"
252,250,"American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)"
262,252,"American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-State"
272,262,"American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-State-County"
275,272,"American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-State-County-County Subdivision"
276,275,"American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-State-County-County Subdivision-Place/Remainder"
254,250,"American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land"
264,254,"American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-State"
274,264,"American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-State-County"
277,274,"American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-State-County-County Subdivision"
278,277,"American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-State-County-County Subdivision-Place/Remainder"
256,250,"American Indian Area-Tribal Census Tract"
291,256,"American Indian Area (Reservation Only)-Tribal Census Tract"
292,256,"American Indian Area (Off-Reservation Trust Land Only)-Tribal Census Tract"
251,250,"American Indian Area-Tribal Subdivision/Remainder"
253,251,"American Indian Area (Reservation or Statistical Entity Only)-Tribal Subdivision/Remainder"
255,251,"American Indian Area (Off-Reservation Trust Land Only)-Tribal Subdivision/Remainder"
257,251,"American Indian Area-Tribal Subdivision/Remainder-Tribal Census Tract"
290,251,"American Indian Area-Tribal Subdivision/Remainder-State"
230,NA,"State-Alaska Native Regional Corporation"
310,NA,"Metropolitan Statistical Area/Micropolitan Statistical Area"
311,310,"Metropolitan Statistical Area/Micropolitan Statistical Area-State"
312,311,"Metropolitan Statistical Area/Micropolitan Statistical Area-State-Principal City"
313,311,"Metropolitan Statistical Area/Micropolitan Statistical Area-State-County"
314,310,"Metropolitan Statistical Area-Metropolitan Division"
315,314,"Metropolitan Statistical Area-Metropolitan Division-State"
316,315,"Metropolitan Statistical Area-Metropolitan Division-State-County"
330,NA,"Combined Statistical Area"
331,330,"Combined Statistical Area-State"
332,330,"Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area"
333,332,"Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area-State"
350,NA,"New England City and Town Area"
351,350,"New England City and Town Area-State"
352,351,"New England City and Town Area-State-Principal City"
353,351,"New England City and Town Area-State-County"
354,353,"New England City and Town Area-State-County-County Subdivision"
355,350,"New England City and Town Area (NECTA)-NECTA Division"
356,355,"New England City and Town Area (NECTA)-NECTA Division-State"
357,356,"New England City and Town Area (NECTA)-NECTA Division-State-County"
358,357,"New England City and Town Area (NECTA)-NECTA Division-State-County-County Subdivision"
335,NA,"Combined New England City and Town Area"
336,335,"Combined New England City and Town Area-State"
337,335,"Combined New England City and Town Area-New England City and Town Area"
338,337,"Combined New England City and Town Area-New England City and Town Area-State"
860,NA,"5-Digit ZIP Code Tabulation Area"
