CODE,PARENT_CODE,DESCRIPTION
010,NA,"United States"
020,NA,"Region"
030,NA,"Division"
040,NA,"State"
050,040,"State-County"
500,040,"State-Congressional District"
610,040,"State-State Legislative District (Upper Chamber)"
620,040,"State-State Legislative District (Lower Chamber)"
310,NA,"Metropolitan Statistical Area/Micropolitan Statistical Area"
311,310,"Metropolitan Statistical Area/Micropolitan Statistical Area-State"
313,311,"Metropolitan Statistical Area/Micropolitan Statistical Area-State-County"
314,310,"Metropolitan Statistical Area-Metropolitan Division"
315,314,"Metropolitan Statistical Area-Metropolitan Division-State"
316,315,"Metropolitan Statistical Area-Metropolitan Division-State-County"
330,NA,"Combined Statistical Area"
331,330,"Combined Statistical Area-State"
332,330,"Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area"
333,332,"Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area-State"
