CODE,PARENT_CODE,DESCRIPTION
040,NA,"State"
050,040,"State-County"
060,050,"State-County-County Subdivision"
070,060,"State-County-County Subdivision-Place/Remainder"
080,070,"State-County-County Subdivision-Place/Remainder-Census Tract"
067,060,"State-County-County Subdivision-Subminor Civil Division"
140,050,"State-County-Census Tract"
144,140,"State-County-Census Tract-American Indian Area/Alaska Native Area/Hawaiian Home Land"
160,040,"State-Place"
155,160,"State-Place-County"
158,155,"State-Place-County-Census Tract"
170,040,"State-Consolidated City"
172,170,"State-Consolidated City-Place Within Consolidated City"
280,040,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land"
282,280,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land-County"
261,282,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land-County-County Subdivision"
263,261,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land-County-County Subdivision-Place/Remainder"
283,280,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)"
285,283,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-County"
265,285,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-County-County Subdivision"
266,286,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)-County-County Subdvision-Place/Remainder"
286,280,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land"
288,286,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-County"
267,288,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-County-County Subdivision"
268,267,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land-County-County Subdivision-Place/Remainder"
281,280,"State-American Indian Area-Tribal Subdivision/Remainder"
284,281,"State-American Indian Area (Reservation or Statistical Entity Only)-Tribal Subdivision/Remainder"
287,281,"State-American Indian Area (Off-Reservation Trust Land Only)-Tribal Subdivision/Remainder"
230,040,"State-Alaska Native Regional Corporation"
320,040,"State-Metropolitan Statistical Area/Micropolitan Statistical Area"
321,320,"State-Metropolitan Statistical Area/Micropolitan Statistical Area-Principal City"
322,320,"State-Metropolitan Statistical Area/Micropolitan Statistical Area-County"
323,320,"State-Metropolitan Statistical Area-Metropolitan Division"
324,323,"State-Metropolitan Statistical Area-Metropolitan Division-County"
340,040,"State-Combined Statistical Area"
341,340,"State-Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area"
360,040,"State-New England City and Town Area"
361,360,"State-New England City and Town Area-Principal City"
362,360,"State-New England City and Town Area-County"
363,362,"State-New England City and Town Area-County-CountySubdivision"
364,360,"State-New England City and Town Area (NECTA)-NECTA Division"
365,364,"State-New England City and Town Area (NECTA)-NECTA Division-County"
366,365,"State-New England City and Town Area (NECTA)-NECTA Division-County-County Subdivision"
345,040,"State-Combined New England City and Town Area"
346,345,"State-Combined New England City and Town Area-New England City and Town Area"
500,040,"State-Congressional District"
610,040,"State-State Legislative District (Upper Chamber)"
620,040,"State-State Legislative District (Lower Chamber)"
871,040,"State-5-Digit ZIP Code Tabulation Area"
950,040,"State-School District (Elementary)/Remainder"
960,040,"State-School District (Secondary)/Remainder"
970,040,"State-School District (Unified)/Remainder"
