NUMBER,DESCRIPTION
PCT001,"TOTAL POPULATION [1]"
PCT002,"URBAN AND RURAL [6]"
PCT003,"SEX BY AGE [209]"
PCT004,"MEDIAN AGE BY SEX [3]  (1 expressed decimal)"
PCT005,"SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS [49]"
PCT006,"POPULATION IN HOUSEHOLDS BY AGE (ITERATED BY RACE, HISPANIC OR LATINO ORIGIN, OR AMERICAN INDIAN OR ALASKA NATIVE TRIBE OR TRIBAL GROUPING OF THE HOUSEHOLDER) [3]"
PCT007,"AVERAGE HOUSEHOLD SIZE BY AGE [3]  (2 expressed decimals)"
PCT008,"HOUSEHOLD TYPE [9]"
PCT009,"HOUSEHOLD SIZE BY HOUSEHOLD TYPE BY PRESENCE OF OWN CHILDREN [19]"
PCT010,"HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE BY AGE OF PEOPLE UNDER 18 YEARS [34]"
PCT011,"HOUSEHOLDS BY AGE OF HOUSEHOLDER BY HOUSEHOLD TYPE BY PRESENCE OF RELATED CHILDREN [31]"
PCT012,"HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER [21]"
PCT013,"HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE [15]"
PCT014,"HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER, HOUSEHOLD SIZE, AND HOUSEHOLD TYPE [11]"
PCT015,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE, AND HOUSEHOLD TYPE [11]"
PCT016,"HOUSEHOLDS BY PRESENCE OF PEOPLE 75 YEARS AND OVER, HOUSEHOLD SIZE, AND HOUSEHOLD TYPE [11]"
PCT017,"PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS [3]"
PCT018,"HOUSEHOLDS BY PRESENCE OF NONRELATIVES [3]"
PCT019,"HUSBAND-WIFE AND UNMARRIED-PARTNER HOUSEHOLDS BY SEX OF PARTNER BY PRESENCE OF RELATED AND OWN CHILDREN UNDER 18 YEARS [34]"
PCT020,"HOUSEHOLD TYPE BY HOUSEHOLD SIZE [16]"
PCT021,"HOUSEHOLD TYPE BY NUMBER OF PEOPLE UNDER 18 YEARS (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS) [26]"
PCT022,"HOUSEHOLD TYPE BY RELATIONSHIP [28]"
PCT023,"HOUSEHOLD TYPE FOR THE POPULATION IN HOUSEHOLDS [13]"
PCT024,"HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION UNDER 18 YEARS [16]"
PCT025,"HOUSEHOLD TYPE BY RELATIONSHIP BY AGE FOR THE POPULATION UNDER 18 YEARS [45]"
PCT026,"HOUSEHOLD TYPE FOR THE POPULATION UNDER 18 YEARS IN HOUSEHOLDS (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS) [7]"
PCT027,"PRESENCE OF UNMARRIED PARTNER OF HOUSEHOLDER BY HOUSEHOLD TYPE FOR THE POPULATION UNDER 18 YEARS IN HOUSEHOLDS (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS) [18]"
PCT028,"HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER [23]"
PCT029,"FAMILIES [1]"
PCT030,"POPULATION IN FAMILIES BY AGE (ITERATED BY RACE, HISPANIC OR LATINO ORIGIN, OR AMERICAN INDIAN OR ALASKA NATIVE TRIBE OR TRIBAL GROUPING OF THE HOUSEHOLDER) [3]"
PCT031,"AVERAGE FAMILY SIZE BY AGE [3]  (2 expressed decimals)"
